feature,importance
volatility_20d,0.12648602
roc_5,0.07424466
momentum_5,0.055426087
bb_middle,0.04816064
sma_5,0.046391882
returns_5d,0.04295344
momentum_10,0.04280609
macd_signal,0.040070783
sma_20,0.039408218
bb_lower,0.039120786
bb_upper,0.037833173
sma_10,0.03767553
volume_ratio,0.035883673
ema_26,0.035746768
sma_50,0.034011442
volatility_60d,0.030806232
macd_histogram,0.030160157
atr,0.028447839
volume_sma_20,0.025861973
returns_10d,0.022555424
macd,0.02244713
rsi,0.020408792
volatility_10d,0.01883145
volatility_5d,0.01409734
returns,0.011513962
ema_12,0.011123885
bb_width,0.011112023
returns_20d,0.01005719
volume_change,0.006357333
roc_10,0.0
